|html_url|pdf_url
40129|https://foodsafetyandrisk.biomedcentral.com/articles/10.1186/s40550-021-00082-1|https://foodsafetyandrisk.biomedcentral.com/counter/pdf/10.1186/s40550-021-00082-1.pdf
40763|https://energsustainsoc.biomedcentral.com/articles/10.1186/s13705-023-00435-y|https://energsustainsoc.biomedcentral.com/counter/pdf/10.1186/s13705-023-00435-y.pdf
41404|https://jbioleng.biomedcentral.com/articles/10.1186/s13036-023-00401-4|https://jbioleng.biomedcentral.com/counter/pdf/10.1186/s13036-023-00401-4.pdf
42053|https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00878-1|https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00878-1.pdf
42054|https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00860-x|https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00860-x.pdf
42703|https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00853-w|https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00853-w.pdf
42704|https://foodsafetyandrisk.biomedcentral.com/articles/10.1186/s40550-022-00099-0|https://foodsafetyandrisk.biomedcentral.com/counter/pdf/10.1186/s40550-022-00099-0.pdf
43357|https://biomedical-engineering-online.biomedcentral.com/articles/10.1186/s12938-024-01241-z|https://biomedical-engineering-online.biomedcentral.com/counter/pdf/10.1186/s12938-024-01241-z.pdf
43359|https://biomedical-engineering-online.biomedcentral.com/articles/10.1186/s12938-024-01223-1|https://biomedical-engineering-online.biomedcentral.com/counter/pdf/10.1186/s12938-024-01223-1.pdf
43360|https://biomedical-engineering-online.biomedcentral.com/articles/10.1186/s12938-024-01272-6|https://biomedical-engineering-online.biomedcentral.com/counter/pdf/10.1186/s12938-024-01272-6.pdf
44019|https://jbiomedsem.biomedcentral.com/articles/10.1186/s13326-023-00301-y|https://jbiomedsem.biomedcentral.com/counter/pdf/10.1186/s13326-023-00301-y.pdf
44021|https://biomedical-engineering-online.biomedcentral.com/articles/10.1186/s12938-024-01264-6|https://biomedical-engineering-online.biomedcentral.com/counter/pdf/10.1186/s12938-024-01264-6.pdf
44022|https://bmcchem.biomedcentral.com/articles/10.1186/s13065-024-01256-6|https://bmcchem.biomedcentral.com/counter/pdf/10.1186/s13065-024-01256-6.pdf
44684|https://bmcchem.biomedcentral.com/articles/10.1186/s13065-024-01245-9|https://bmcchem.biomedcentral.com/counter/pdf/10.1186/s13065-024-01245-9.pdf
44686|https://energsustainsoc.biomedcentral.com/articles/10.1186/s13705-024-00461-4|https://energsustainsoc.biomedcentral.com/counter/pdf/10.1186/s13705-024-00461-4.pdf
44688|https://jbioleng.biomedcentral.com/articles/10.1186/s13036-024-00430-7|https://jbioleng.biomedcentral.com/counter/pdf/10.1186/s13036-024-00430-7.pdf
46032|https://jbioleng.biomedcentral.com/articles/10.1186/s13036-024-00421-8|https://jbioleng.biomedcentral.com/counter/pdf/10.1186/s13036-024-00421-8.pdf
46033|https://crimesciencejournal.biomedcentral.com/articles/10.1186/s40163-022-00173-0|https://crimesciencejournal.biomedcentral.com/counter/pdf/10.1186/s40163-022-00173-0.pdf
46714|https://jbiomedsem.biomedcentral.com/articles/10.1186/s13326-022-00278-0|https://jbiomedsem.biomedcentral.com/counter/pdf/10.1186/s13326-022-00278-0.pdf
46715|https://jbiomedsem.biomedcentral.com/articles/10.1186/s13326-024-00307-0|https://jbiomedsem.biomedcentral.com/counter/pdf/10.1186/s13326-024-00307-0.pdf
47398|https://foodsafetyandrisk.biomedcentral.com/articles/10.1186/s40550-018-0064-3|https://foodsafetyandrisk.biomedcentral.com/counter/pdf/10.1186/s40550-018-0064-3.pdf
47399|https://jbioleng.biomedcentral.com/articles/10.1186/s13036-024-00434-3|https://jbioleng.biomedcentral.com/counter/pdf/10.1186/s13036-024-00434-3.pdf
47401|https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00852-x|https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00852-x.pdf
48090|https://jbioleng.biomedcentral.com/articles/10.1186/s13036-024-00414-7|https://jbioleng.biomedcentral.com/counter/pdf/10.1186/s13036-024-00414-7.pdf
48092|https://bmcchem.biomedcentral.com/articles/10.1186/s13065-024-01196-1|https://bmcchem.biomedcentral.com/counter/pdf/10.1186/s13065-024-01196-1.pdf
50196|https://bmcbiomedeng.biomedcentral.com/articles/10.1186/s42490-024-00078-w|https://bmcbiomedeng.biomedcentral.com/counter/pdf/10.1186/s42490-024-00078-w.pdf
50903|https://jbiomedsem.biomedcentral.com/articles/10.1186/s13326-024-00309-y|https://jbiomedsem.biomedcentral.com/counter/pdf/10.1186/s13326-024-00309-y.pdf
50905|https://crimesciencejournal.biomedcentral.com/articles/10.1186/s40163-022-00174-z|https://crimesciencejournal.biomedcentral.com/counter/pdf/10.1186/s40163-022-00174-z.pdf
52343|https://jbioleng.biomedcentral.com/articles/10.1186/s13036-024-00409-4|https://jbioleng.biomedcentral.com/counter/pdf/10.1186/s13036-024-00409-4.pdf
https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00842-z|https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00842-z.pdf
https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00842-z|https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00842-z.pdf
https://energsustainsoc.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=2/10.1186/s13705-023-00403-6|
https://energsustainsoc.biomedcentral.com/articles/10.1186/s13705-024-00464-1|https://energsustainsoc.biomedcentral.com/counter/pdf/10.1186/s13705-024-00464-1.pdf
https://jbiomedsem.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=4/10.1186/s13326-017-0147-8|
https://jbioleng.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=3/10.1186/s13036-023-00334-y|
https://energsustainsoc.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=2/10.1186/s13705-023-00411-6|
https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00842-z|https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00842-z.pdf
https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00842-z|https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00842-z.pdf
https://energsustainsoc.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=2/10.1186/s13705-023-00403-6|
https://energsustainsoc.biomedcentral.com/articles/10.1186/s13705-024-00464-1|https://energsustainsoc.biomedcentral.com/counter/pdf/10.1186/s13705-024-00464-1.pdf
https://jbiomedsem.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=4/10.1186/s13326-017-0147-8|
https://jbioleng.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=3/10.1186/s13036-023-00334-y|
https://energsustainsoc.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=2/10.1186/s13705-023-00411-6|
https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00842-z|https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00842-z.pdf
https://energsustainsoc.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=2/10.1186/s13705-023-00403-6|
https://energsustainsoc.biomedcentral.com/articles/10.1186/s13705-024-00464-1|https://energsustainsoc.biomedcentral.com/counter/pdf/10.1186/s13705-024-00464-1.pdf
https://jbiomedsem.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=4/10.1186/s13326-017-0147-8|
https://jbioleng.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=3/10.1186/s13036-023-00334-y|
https://energsustainsoc.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=2/10.1186/s13705-023-00411-6|
https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00847-8|https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00847-8.pdf
https://bmcbiomedeng.biomedcentral.com/articles/10.1186/s42490-023-00074-6|https://bmcbiomedeng.biomedcentral.com/counter/pdf/10.1186/s42490-023-00074-6.pdf
https://jbiomedsem.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=4/10.1186/s13326-017-0130-4|
https://jbiomedsem.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=3/10.1186/s13326-018-0192-y|
https://jbioleng.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=4/10.1186/s13036-020-00245-2|
https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00842-z|https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00842-z.pdf
https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00842-z|https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00842-z.pdf
https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00842-z|https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00842-z.pdf
https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00842-z|https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00842-z.pdf
https://energsustainsoc.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=2/10.1186/s13705-023-00403-6|
https://energsustainsoc.biomedcentral.com/articles/10.1186/s13705-024-00464-1|https://energsustainsoc.biomedcentral.com/counter/pdf/10.1186/s13705-024-00464-1.pdf
https://jbiomedsem.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=4/10.1186/s13326-017-0147-8|
https://jbioleng.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=3/10.1186/s13036-023-00334-y|
https://energsustainsoc.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=2/10.1186/s13705-023-00411-6|
https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00842-z|https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00842-z.pdf
https://energsustainsoc.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=2/10.1186/s13705-023-00403-6|
https://energsustainsoc.biomedcentral.com/articles/10.1186/s13705-024-00464-1|https://energsustainsoc.biomedcentral.com/counter/pdf/10.1186/s13705-024-00464-1.pdf
https://jbiomedsem.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=4/10.1186/s13326-017-0147-8|
https://jbioleng.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=3/10.1186/s13036-023-00334-y|
https://energsustainsoc.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=2/10.1186/s13705-023-00411-6|
https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00847-8|https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00847-8.pdf
https://bmcbiomedeng.biomedcentral.com/articles/10.1186/s42490-023-00074-6|https://bmcbiomedeng.biomedcentral.com/counter/pdf/10.1186/s42490-023-00074-6.pdf
https://jbiomedsem.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=4/10.1186/s13326-017-0130-4|
https://jbiomedsem.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=3/10.1186/s13326-018-0192-y|
https://jbioleng.biomedcentral.com/articles?searchType=journalSearch&sort=PubDate&page=4/10.1186/s13036-020-00245-2|
